INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 1/5000 | Policy Loss: -0.1053 | Value Loss: 0.3299
INFO:root:Epoch 2/5000 | Policy Loss: 0.2413 | Value Loss: 0.1585
INFO:root:Epoch 3/5000 | Policy Loss: -0.0500 | Value Loss: 0.0823
INFO:root:Epoch 4/5000 | Policy Loss: -0.1671 | Value Loss: 0.2234
INFO:root:Epoch 5/5000 | Policy Loss: -0.1564 | Value Loss: 0.0753
INFO:root:Epoch 6/5000 | Policy Loss: 0.2478 | Value Loss: 0.5010
INFO:root:Epoch 7/5000 | Policy Loss: 0.2177 | Value Loss: 0.3715
INFO:root:Epoch 8/5000 | Policy Loss: 0.1972 | Value Loss: 0.0874
INFO:root:Epoch 9/5000 | Policy Loss: -0.1059 | Value Loss: 0.9869
INFO:root:Epoch 10/5000 | Policy Loss: 0.2956 | Value Loss: 0.1618
INFO:root:Epoch 11/5000 | Policy Loss: 0.5005 | Value Loss: 0.1255
INFO:root:Epoch 12/5000 | Policy Loss: 0.1991 | Value Loss: 0.0981
INFO:root:Epoch 13/5000 | Policy Loss: -0.0255 | Value Loss: 0.2478
INFO:root:Epoch 14/5000 | Policy Loss: 0.2467 | Value Loss: 0.0717
INFO:root:Epoch 15/5000 | Policy Loss: 0.6462 | Value Loss: 0.1846
INFO:root:Epoch 16/5000 | Policy Loss: 0.1952 | Value Loss: 0.0936
INFO:root:Epoch 17/5000 | Policy Loss: 0.1546 | Value Loss: 0.0895
INFO:root:Epoch 18/5000 | Policy Loss: 0.4649 | Value Loss: 0.1116
INFO:root:Epoch 19/5000 | Policy Loss: 0.4948 | Value Loss: 0.0499
INFO:root:Epoch 20/5000 | Policy Loss: 0.3007 | Value Loss: 0.0844
INFO:root:Epoch 20 evaluation score: 0.21
INFO:root:Epoch 21/5000 | Policy Loss: 0.3202 | Value Loss: 0.0496
INFO:root:Epoch 22/5000 | Policy Loss: 0.3690 | Value Loss: 0.0739
INFO:root:Epoch 23/5000 | Policy Loss: 0.2251 | Value Loss: 0.0637
INFO:root:Epoch 24/5000 | Policy Loss: 0.0361 | Value Loss: 0.2305
INFO:root:Epoch 25/5000 | Policy Loss: 0.1065 | Value Loss: 0.0589
INFO:root:Epoch 26/5000 | Policy Loss: 0.0299 | Value Loss: 0.1017
INFO:root:Epoch 27/5000 | Policy Loss: 0.0219 | Value Loss: 0.0332
INFO:root:Epoch 28/5000 | Policy Loss: -0.1359 | Value Loss: 0.3214
INFO:root:Epoch 29/5000 | Policy Loss: -0.0462 | Value Loss: 0.4470
INFO:root:Epoch 30/5000 | Policy Loss: 0.0702 | Value Loss: 0.0440
INFO:root:Epoch 31/5000 | Policy Loss: 0.1824 | Value Loss: 0.0499
INFO:root:Epoch 32/5000 | Policy Loss: 0.0404 | Value Loss: 0.0987
INFO:root:Epoch 33/5000 | Policy Loss: 0.3145 | Value Loss: 0.0693
INFO:root:Epoch 34/5000 | Policy Loss: 0.1621 | Value Loss: 0.0520
INFO:root:Epoch 35/5000 | Policy Loss: -0.1299 | Value Loss: 0.3702
INFO:root:Epoch 36/5000 | Policy Loss: 0.1766 | Value Loss: 0.0712
INFO:root:Epoch 37/5000 | Policy Loss: 0.2346 | Value Loss: 0.1363
INFO:root:Epoch 38/5000 | Policy Loss: 0.3337 | Value Loss: 0.1125
INFO:root:Epoch 39/5000 | Policy Loss: 0.2505 | Value Loss: 0.0399
INFO:root:Epoch 40/5000 | Policy Loss: 0.2198 | Value Loss: 0.0648
INFO:root:Epoch 40 evaluation score: 0.64
INFO:root:Epoch 41/5000 | Policy Loss: 0.5993 | Value Loss: 0.1441
INFO:root:Epoch 42/5000 | Policy Loss: 0.1466 | Value Loss: 0.4837
INFO:root:Epoch 43/5000 | Policy Loss: 0.0852 | Value Loss: 0.1070
INFO:root:Epoch 44/5000 | Policy Loss: 0.3157 | Value Loss: 0.0873
INFO:root:Epoch 45/5000 | Policy Loss: 0.0452 | Value Loss: 0.0679
INFO:root:Epoch 46/5000 | Policy Loss: 0.4349 | Value Loss: 0.0700
INFO:root:Epoch 47/5000 | Policy Loss: 0.1847 | Value Loss: 0.0503
INFO:root:Epoch 48/5000 | Policy Loss: 0.2512 | Value Loss: 0.0509
INFO:root:Epoch 49/5000 | Policy Loss: 0.3412 | Value Loss: 0.0745
INFO:root:Epoch 50/5000 | Policy Loss: 0.1869 | Value Loss: 0.0360
INFO:root:Epoch 51/5000 | Policy Loss: -0.0783 | Value Loss: 0.3131
INFO:root:Epoch 52/5000 | Policy Loss: 0.2351 | Value Loss: 0.0731
INFO:root:Epoch 53/5000 | Policy Loss: -0.1327 | Value Loss: 0.7328
INFO:root:Epoch 54/5000 | Policy Loss: -0.1282 | Value Loss: 0.1406
INFO:root:Epoch 55/5000 | Policy Loss: 0.2509 | Value Loss: 0.0611
INFO:root:Epoch 56/5000 | Policy Loss: 0.0379 | Value Loss: 0.5521
INFO:root:Epoch 57/5000 | Policy Loss: 0.2733 | Value Loss: 0.2531
INFO:root:Epoch 58/5000 | Policy Loss: 0.2020 | Value Loss: 0.0712
INFO:root:Epoch 59/5000 | Policy Loss: 0.0887 | Value Loss: 0.0989
INFO:root:Epoch 60/5000 | Policy Loss: 0.2435 | Value Loss: 0.0983
INFO:root:Epoch 60 evaluation score: 0.24
INFO:root:Epoch 61/5000 | Policy Loss: 0.1687 | Value Loss: 0.1277
